                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3146,                 4.3441,                 1.0427,                0.00167,                0.14719,                0.01748,                0.01421,                 1.1832,                 4.1845,                0.86248,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2892,                 4.3019,                 1.0309,                0.00203,                0.29978,                0.02381,                0.01805,                 1.1706,                 4.1727,                0.86122,             2.4743e-05,             2.4743e-05,             2.4743e-05
                      2,                 1.4743,                  4.466,                  1.082,                0.00263,                0.32251,                0.04873,                0.03738,                 1.1446,                 4.1533,                0.85247,             4.0825e-05,             4.0825e-05,             4.0825e-05
                      3,                 1.3478,                  4.209,                 1.0855,                0.00238,                0.31277,                0.08333,                0.07189,                 1.1192,                 4.1322,                0.83599,             5.6578e-05,             5.6578e-05,             5.6578e-05
                      4,                 1.1997,                  3.985,                 1.0233,                0.00301,                0.33225,                0.12457,                0.10121,                 1.1265,                 4.0986,                 0.8244,             7.2001e-05,             7.2001e-05,             7.2001e-05
                      5,                 1.3697,                 3.8852,                 1.0037,                  0.003,                0.32576,                 0.1311,                0.09891,                 1.0817,                 4.0596,                0.80335,             8.7094e-05,             8.7094e-05,             8.7094e-05
                      6,                 1.1726,                 3.8408,                0.96335,                0.00332,                0.32576,                0.13504,                0.10004,                 1.0376,                  4.018,                0.79388,             0.00010186,             0.00010186,             0.00010186
                      7,                 1.3994,                 2.9364,                 1.0746,                0.00407,                0.32576,                0.11194,                0.08189,                 1.0222,                  3.981,                    0.8,             0.00011629,             0.00011629,             0.00011629
                      8,                 1.2655,                 2.5019,                 1.0171,                0.00509,                0.34199,                0.08937,                0.06391,                 1.0139,                 3.9641,                0.80769,             0.00013039,             0.00013039,             0.00013039
                      9,                 1.2917,                 2.4423,                  1.074,                0.00595,                0.34199,                  0.091,                0.06473,                 1.0419,                 3.9405,                0.81537,             0.00014417,             0.00014417,             0.00014417
